source,country,cnt,pct,s1_count,singletons,with_matches,avg_matches,singleton_pct,train_S1,train_S2,train_S3
train_S1,US,1323633.0,59.979173662023335,,,,,,,,
train_S1,India,883188.0,40.020826337976665,,,,,,,,
train_S2,US,3016817.0,59.92149152984061,,,,,,,,
train_S2,India,2017799.0,40.07850847015939,,,,,,,,
train_S3,US,3170056.0,59.97529515553855,,,,,,,,
train_S3,India,2115547.0,40.02470484446145,,,,,,,,
test_S1,India,809986.0,46.75125133907133,,,,,,,,
test_S1,US,663106.0,38.273544567987884,,,,,,,,
test_S1,France,259452.0,14.975204092940785,,,,,,,,
test_S2,India,2312565.0,47.318105618409284,,,,,,,,
test_S2,US,1871330.0,38.289860214479525,,,,,,,,
test_S2,France,703378.0,14.392034167111188,,,,,,,,
test_S3,India,2405000.0,47.32094580502275,,,,,,,,
test_S3,US,1945701.0,38.283747016124146,,,,,,,,
test_S3,France,731615.0,14.395307178853106,,,,,,,,
match_rates_by_country,US,,,1323633.0,73896.0,1249737.0,3.4590570044717834,5.582816384904275,,,
match_rates_by_country,India,,,883188.0,49351.0,833837.0,3.4645432229604567,5.587825015738439,,,
source_country_crosstab,US,,,,,,,,1323633.0,3016817.0,3170056.0
source_country_crosstab,India,,,,,,,,883188.0,2017799.0,2115547.0
